heure,nb_requetes_min,nb_fichiers,taille_totale_mb,ip_connue,pays_etranger,methode_delete,label
16,8,9,39.76282759066333,1,0,1,0
9,16,8,25.588015783355996,1,0,0,0
18,1,2,32.17320743566585,1,0,0,0
15,15,2,40.160549428819046,1,0,0,0
11,19,4,40.67134375794084,1,0,0,0
17,20,8,1.9695369578359003,1,0,0,0
12,1,10,43.26686314509357,1,0,0,0
14,3,3,1.285272010530074,1,0,0,0
17,12,7,36.81554328717007,1,0,0,0
13,7,6,15.71480874162253,1,0,0,0
12,9,9,42.93924892421769,1,0,0,0
17,6,9,7.10449756358862,1,0,0,0
18,2,7,43.83955246621387,1,0,0,0
18,18,7,9.325572905048157,1,0,0,0
13,7,3,24.96345054878945,1,0,0,0
18,6,10,47.086188694642935,1,0,0,0
14,16,3,31.70346837871781,1,0,0,0
17,4,4,37.06492012657495,1,0,0,0
15,8,2,17.57068831163744,1,0,0,0
11,1,4,19.983452330382697,1,0,0,0
13,10,4,2.990465808059959,1,0,0,0
13,4,4,23.626695712273786,1,0,0,0
13,17,10,5.541795099191891,1,0,0,0
13,13,10,5.141505292016247,1,0,0,0
15,10,7,34.85991602964811,1,0,0,0
8,19,9,3.141782816678139,1,0,0,0
14,6,5,23.185140613208272,1,0,0,0
3,294,318,3574.5088215095634,0,1,0,1
22,639,72,1649.5535505297662,0,0,0,1
11,6,10,42.82171056324554,1,0,0,0
14,16,8,44.75438642193301,1,0,0,0
11,16,6,8.964099838825117,1,0,0,0
13,11,6,14.749360422793172,1,0,1,0
12,5,2,19.239168767753917,1,0,0,0
16,20,6,47.50697646131348,1,0,0,0
8,13,8,9.396950432932195,1,0,0,0
17,18,6,19.107129501044188,1,0,0,0
13,6,8,2.3263845424239977,1,0,0,0
3,623,192,1163.1834466457215,0,1,0,1
3,406,54,3946.4114154648696,0,1,1,1
8,3,7,41.48446965967374,1,0,0,0
3,862,130,582.6750141420181,0,1,1,1
12,4,3,4.4561318945202935,1,0,0,0
12,1,9,41.123242305574315,1,0,0,0
13,12,2,27.544857659595838,1,0,0,0
14,19,8,38.521362917418294,1,0,0,0
22,525,470,2160.808928863131,0,1,1,1
15,19,8,4.492191098956776,1,0,0,0
9,13,1,42.943803241755305,1,0,0,0
18,18,3,14.759824237751904,1,0,0,0
10,2,5,18.074711736289004,1,0,0,0
10,18,1,41.74629149231223,1,0,0,0
11,13,8,7.194364490460854,1,0,0,0
4,907,411,1792.3428671191723,0,1,1,1
22,996,410,4041.139380434929,0,1,1,1
16,6,6,48.952107804509126,1,0,0,0
18,6,1,7.2246954712912315,1,0,0,0
13,4,7,2.420368059267575,1,0,0,0
13,8,6,38.977981643302904,1,0,0,0
15,16,1,0.42995661390872897,1,0,0,0
8,9,9,6.267077964498268,1,0,0,0
8,2,6,39.827558911594366,1,0,0,0
9,10,10,3.583463347076756,1,0,0,0
10,10,6,16.32200530538203,1,0,0,0
17,6,7,27.836948232587257,1,0,0,0
8,6,5,46.13009884568954,1,0,0,0
1,660,192,3288.9471749131335,0,1,1,1
13,6,6,15.650704748240397,1,0,0,0
13,12,7,47.478408882808,1,0,0,0
17,12,10,13.850471089711439,1,0,0,0
0,737,441,1638.9993880311767,0,1,1,1
9,17,6,2.7794519541749403,1,0,0,0
8,16,5,13.045371008328246,1,0,0,0
11,4,3,33.58179777639386,1,0,0,0
16,4,6,21.55269030655473,1,0,0,0
14,11,8,19.99663619442197,1,0,0,0
8,13,7,30.736882976764022,1,0,0,0
9,8,4,9.591424531196493,1,0,0,0
17,12,3,38.96903017777052,1,0,0,0
4,233,242,3453.7758301001777,0,1,1,1
10,15,2,40.54460959604583,1,0,1,0
